utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
23,MBMPS,Spanish,320,40.0,360.0,212,0.13987591862678528,0.3210212290287018,0.9390471335875951,0.21330909430980682,0.10093847662210464,0.1437234729528427
23,MBMPS,Spanish,640,40.0,680.0,212,0.08079629391431808,0.21447210013866425,0.9620545344669565,0.1414913833141327,0.05776368826627731,0.07379643619060516
24,THV,Vietnamese,0,40.0,40.0,149,0.5577372312545776,0.919305145740509,0.7424617560751603,0.5251093506813049,0.5744239091873169,0.5538754463195801
24,THV,Vietnamese,20,40.0,60.0,149,0.45356014370918274,0.8768693804740906,0.8012390843237974,0.5317468047142029,0.438416451215744,0.4273245632648468
24,THV,Vietnamese,40,40.0,80.0,149,0.38900262117385864,0.8734384179115295,0.8263832312053561,0.3985641896724701,0.39294204115867615,0.3775208592414856
24,THV,Vietnamese,80,40.0,120.0,149,0.3156180679798126,0.7435569167137146,0.872972640691817,0.31884604692459106,0.3155224025249481,0.3137784004211426
24,THV,Vietnamese,160,40.0,200.0,149,0.22995880246162415,0.6051957607269287,0.9187804895351708,0.25533172488212585,0.22548413276672363,0.2208167463541031
24,THV,Vietnamese,320,40.0,360.0,149,0.1413956582546234,0.4211229383945465,0.9555416699700732,0.22844505310058594,0.12016681581735611,0.11842704564332962
24,THV,Vietnamese,640,40.0,680.0,149,0.10057704895734787,0.3567119538784027,0.9618491043224907,0.2430635243654251,0.0598839707672596,0.07147340476512909
25,HJK,Korean,0,40.0,40.0,195,0.4860318601131439,0.8322124481201172,0.7702101007516379,0.44843804836273193,0.48068854212760925,0.5121915936470032
25,HJK,Korean,20,40.0,60.0,195,0.4001392126083374,0.7805249094963074,0.8190965909312226,0.3743096590042114,0.4015984535217285,0.4122794568538666
25,HJK,Korean,40,40.0,80.0,195,0.35159537196159363,0.7775545716285706,0.8435970974270444,0.3293054699897766,0.3507879972457886,0.364421546459198
25,HJK,Korean,80,40.0,120.0,195,0.27677783370018005,0.5265331268310547,0.8905346396675841,0.2513020634651184,0.27531903982162476,0.29204681515693665
25,HJK,Korean,160,40.0,200.0,195,0.16489535570144653,0.32719168066978455,0.9384166792971148,0.21081916987895966,0.14742392301559448,0.16022546589374542
25,HJK,Korean,320,40.0,360.0,195,0.11542260646820068,0.2103893756866455,0.9579081702881798,0.15902362763881683,0.10662282258272171,0.10213412344455719
25,HJK,Korean,640,40.0,680.0,195,0.0688273012638092,0.14541177451610565,0.9766902821188462,0.11552450060844421,0.05453382059931755,0.06013096868991852
26,EBVS,Spanish,0,40.0,40.0,252,0.46531981229782104,0.8321369290351868,0.7588942861365513,0.4511610269546509,0.4508752226829529,0.491610586643219
26,EBVS,Spanish,20,40.0,60.0,252,0.37399154901504517,0.7424232959747314,0.8013693936114614,0.3810504376888275,0.37527593970298767,0.368330180644989
26,EBVS,Spanish,40,40.0,80.0,252,0.319967120885849,0.8058116436004639,0.8327752448197752,0.32969939708709717,0.3091370165348053,0.3280191421508789
26,EBVS,Spanish,80,40.0,120.0,252,0.24650432169437408,0.5368219017982483,0.879090592638965,0.23534706234931946,0.2434985488653183,0.25668036937713623
26,EBVS,Spanish,160,40.0,200.0,252,0.1849774718284607,0.4441143870353699,0.9107334922832722,0.18090887367725372,0.18239280581474304,0.19056148827075958
